"SITE","LINE","PLC_STATION_ID","ORDER","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME","END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","4","SU01","00201908SU-00008",1,30,"15-AUG-2019 12:27:44","15-AUG-2019 12:28:01","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00008",1,40,"15-AUG-2019 12:28:25","15-AUG-2019 12:28:59","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00008",1,50,"15-AUG-2019 12:29:17","15-AUG-2019 12:29:28","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00008",1,60,"15-AUG-2019 12:29:59","15-AUG-2019 12:30:08","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00008",1,70,"15-AUG-2019 12:31:53","15-AUG-2019 12:32:03","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00009",1,1,"15-AUG-2019 12:27:38","15-AUG-2019 12:27:42","1"," E02B0040002A354",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00009",1,10,"15-AUG-2019 12:27:52","15-AUG-2019 12:28:09","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00009",1,20,"15-AUG-2019 12:28:20","15-AUG-2019 12:28:35","","",205,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00009",1,30,"15-AUG-2019 12:29:39","15-AUG-2019 12:29:56","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00009",1,40,"15-AUG-2019 12:30:09","15-AUG-2019 12:30:28","","",661,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00009",1,50,"15-AUG-2019 12:30:48","15-AUG-2019 12:31:00","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00009",1,60,"15-AUG-2019 12:31:38","15-AUG-2019 12:31:47","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00009",1,70,"15-AUG-2019 12:33:07","15-AUG-2019 12:33:17","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00010",1,1,"15-AUG-2019 12:29:03","15-AUG-2019 12:29:07","1"," E02B0040002A352",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00010",1,10,"15-AUG-2019 12:29:16","15-AUG-2019 12:29:34","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00010",1,20,"15-AUG-2019 12:30:06","15-AUG-2019 12:30:28","","",203,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00010",1,30,"15-AUG-2019 12:31:01","15-AUG-2019 12:31:18","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00010",1,40,"15-AUG-2019 12:31:33","15-AUG-2019 12:31:52","","",661,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00010",1,50,"15-AUG-2019 12:32:10","15-AUG-2019 12:32:21","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
