"SITE","LINE","PLC_STATION_ID","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME",END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","4","00201908SU-00006",1,30,"15-AUG-2019 12:24:12","15-AUG-2019 12:24:28","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00006",1,40,"15-AUG-2019 12:24:45","15-AUG-2019 12:25:04","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00006",1,50,"15-AUG-2019 12:25:25","15-AUG-2019 12:25:36","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00006",1,60,"15-AUG-2019 12:26:10","15-AUG-2019 12:26:19","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00006",1,70,"15-AUG-2019 12:28:11","15-AUG-2019 12:28:22","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00007",1,1,"15-AUG-2019 12:24:25","15-AUG-2019 12:24:29","1"," E02B0040002A36A",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00007",1,10,"15-AUG-2019 12:25:03","15-AUG-2019 12:25:18","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00007",1,20,"15-AUG-2019 12:25:31","15-AUG-2019 12:25:47","","",205,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00007",1,30,"15-AUG-2019 12:25:59","15-AUG-2019 12:26:16","","",662,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00007",1,40,"15-AUG-2019 12:26:40","15-AUG-2019 12:27:01","","",662,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00007",1,50,"15-AUG-2019 12:27:17","15-AUG-2019 12:27:28","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00007",1,60,"15-AUG-2019 12:27:55","15-AUG-2019 12:28:05","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00007",1,70,"15-AUG-2019 12:30:15","15-AUG-2019 12:30:25","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00008",1,1,"15-AUG-2019 12:26:12","15-AUG-2019 12:26:16","1"," E02B0040002A35E",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00008",1,10,"15-AUG-2019 12:26:27","15-AUG-2019 12:26:45","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00008",1,20,"15-AUG-2019 12:26:53","15-AUG-2019 12:27:08","","",204,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00008",1,30,"15-AUG-2019 12:27:44","15-AUG-2019 12:28:01","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00008",1,40,"15-AUG-2019 12:28:25","15-AUG-2019 12:28:59","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00008",1,50,"15-AUG-2019 12:29:17","15-AUG-2019 12:29:28","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00008",1,60,"15-AUG-2019 12:29:59","15-AUG-2019 12:30:08","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00008",1,70,"15-AUG-2019 12:31:53","15-AUG-2019 12:32:03","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00009",1,1,"15-AUG-2019 12:27:38","15-AUG-2019 12:27:42","1"," E02B0040002A354",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00009",1,10,"15-AUG-2019 12:27:52","15-AUG-2019 12:28:09","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00009",1,20,"15-AUG-2019 12:28:20","15-AUG-2019 12:28:35","","",205,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00009",1,30,"15-AUG-2019 12:29:39","15-AUG-2019 12:29:56","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00009",1,40,"15-AUG-2019 12:30:09","15-AUG-2019 12:30:28","","",661,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00009",1,50,"15-AUG-2019 12:30:48","15-AUG-2019 12:31:00","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00009",1,60,"15-AUG-2019 12:31:38","15-AUG-2019 12:31:47","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00009",1,70,"15-AUG-2019 12:33:07","15-AUG-2019 12:33:17","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00010",1,1,"15-AUG-2019 12:29:03","15-AUG-2019 12:29:07","1"," E02B0040002A352",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00010",1,10,"15-AUG-2019 12:29:16","15-AUG-2019 12:29:34","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00010",1,20,"15-AUG-2019 12:30:06","15-AUG-2019 12:30:28","","",203,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00010",1,30,"15-AUG-2019 12:31:01","15-AUG-2019 12:31:18","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00010",1,40,"15-AUG-2019 12:31:33","15-AUG-2019 12:31:52","","",661,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00010",1,50,"15-AUG-2019 12:32:10","15-AUG-2019 12:32:21","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00010",1,60,"15-AUG-2019 12:32:51","15-AUG-2019 12:32:59","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00010",1,70,"15-AUG-2019 12:36:31","15-AUG-2019 12:36:41","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00011",1,1,"15-AUG-2019 12:30:52","15-AUG-2019 12:30:56","1"," E02B0040002A33C",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00011",1,10,"15-AUG-2019 12:31:03","15-AUG-2019 12:31:17","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00011",1,20,"15-AUG-2019 12:31:25","15-AUG-2019 12:31:41","","",204,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00011",1,30,"15-AUG-2019 12:32:26","15-AUG-2019 12:32:43","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00011",1,40,"15-AUG-2019 12:33:17","15-AUG-2019 12:33:35","","",661,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00011",2,53,"15-AUG-2019 12:33:47","15-AUG-2019 12:33:48","","",964,964,"SUCCESS","SFC_SCRAP","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00012",1,1,"15-AUG-2019 12:32:06","15-AUG-2019 12:32:10","1"," E02B0040002A339",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00012",1,10,"15-AUG-2019 12:32:18","15-AUG-2019 12:32:34","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00012",1,20,"15-AUG-2019 12:32:45","15-AUG-2019 12:33:03","","",203,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00012",1,30,"15-AUG-2019 12:33:29","15-AUG-2019 12:33:46","","",660,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00012",1,40,"15-AUG-2019 12:35:07","15-AUG-2019 12:35:23","","",660,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00012",1,50,"15-AUG-2019 12:35:41","15-AUG-2019 12:35:52","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00012",1,60,"15-AUG-2019 12:36:18","15-AUG-2019 12:36:27","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00012",1,70,"15-AUG-2019 12:37:58","15-AUG-2019 12:38:08","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00013",1,1,"15-AUG-2019 12:33:37","15-AUG-2019 12:33:41","1"," E02B0040002A330",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00013",1,10,"15-AUG-2019 12:33:50","15-AUG-2019 12:34:06","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00013",1,20,"15-AUG-2019 12:34:15","15-AUG-2019 12:34:29","","",203,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00013",1,30,"15-AUG-2019 12:36:10","15-AUG-2019 12:36:27","","",662,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00013",1,40,"15-AUG-2019 12:36:39","15-AUG-2019 12:36:55","","",662,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00013",1,50,"15-AUG-2019 12:37:10","15-AUG-2019 12:37:21","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00013",1,60,"15-AUG-2019 12:37:44","15-AUG-2019 12:37:54","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00013",1,70,"15-AUG-2019 12:39:13","15-AUG-2019 12:39:23","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00014",1,1,"15-AUG-2019 12:34:58","15-AUG-2019 12:35:02","1"," E02B0040002A32D",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00014",1,10,"15-AUG-2019 12:35:14","15-AUG-2019 12:35:28","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00014",1,20,"15-AUG-2019 12:36:09","15-AUG-2019 12:36:25","","",204,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00014",1,30,"15-AUG-2019 12:37:21","15-AUG-2019 12:37:38","","",660,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00014",1,40,"15-AUG-2019 12:37:51","15-AUG-2019 12:38:06","","",660,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00014",1,50,"15-AUG-2019 12:38:20","15-AUG-2019 12:38:31","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00014",1,60,"15-AUG-2019 12:38:58","15-AUG-2019 12:39:08","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00014",1,70,"15-AUG-2019 12:40:18","15-AUG-2019 12:40:28","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00015",1,1,"15-AUG-2019 12:36:50","15-AUG-2019 12:36:54","1"," E02B0040002A309",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00015",1,10,"15-AUG-2019 12:37:06","15-AUG-2019 12:37:20","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00015",1,20,"15-AUG-2019 12:37:28","15-AUG-2019 12:37:44","","",203,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00015",1,30,"15-AUG-2019 12:38:30","15-AUG-2019 12:38:47","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
