==============================
Analysing pre dvt 01.csv, result is coming...
==============================
------------------------------
[result for production time]:
ORDER,DATE,START,END,PRODUCTION_TIME
SU01,15-AUG-2019,2019-08-15 12:06:01,2019-08-15 21:45:11,0 days 09:39:10.000000000
SU02,21-AUG-2019,2019-08-21 11:03:56,2019-08-21 19:04:12,0 days 08:00:16.000000000
SU02,22-AUG-2019,2019-08-22 11:20:02,2019-08-22 11:53:27,0 days 00:33:25.000000000
SU03,23-AUG-2019,2019-08-23 11:59:39,2019-08-23 16:43:42,0 days 04:44:03.000000000
ZO01,16-AUG-2019,2019-08-16 11:02:28,2019-08-16 16:53:22,0 days 05:50:54.000000000
ZO02,21-AUG-2019,2019-08-21 16:19:40,2019-08-21 18:05:39,0 days 01:45:59.000000000
ZO02,22-AUG-2019,2019-08-22 10:50:38,2019-08-22 14:54:19,0 days 04:03:41.000000000
ZP01,19-AUG-2019,2019-08-19 11:01:10,2019-08-19 16:17:29,0 days 05:16:19.000000000
------------------------------
[result for downtime]:
ORDER,DATE,END_DATE_TIME
SU01,15-AUG-2019,0 days 05:30:37.000000000
SU02,21-AUG-2019,0 days 02:19:34.000000000
SU02,22-AUG-2019,0 days 00:20:31.000000000
SU03,23-AUG-2019,0 days 03:21:27.000000000
ZO01,16-AUG-2019,0 days 04:21:38.000000000
ZO02,21-AUG-2019,0 days 00:18:01.000000000
ZO02,22-AUG-2019,0 days 03:30:39.000000000
ZP01,19-AUG-2019,0 days 03:42:13.000000000
------------------------------
[result for cycle time]:
ORDER,DATE,PLC_STATION_ID,count,mean,std,min,25%,50%,75%,max
SU01,15-AUG-2019,1,253,0 days 00:00:03.992094,0 days 00:00:00.377881,0 days 00:00:00,0 days 00:00:04,0 days 00:00:04,0 days 00:00:04,0 days 00:00:05
SU01,15-AUG-2019,2,242,0 days 00:00:47.797520,0 days 00:07:44.385897,0 days 00:00:00,0 days 00:00:13,0 days 00:00:14,0 days 00:00:16,0 days 02:00:18
SU01,15-AUG-2019,3,239,0 days 00:00:51.782426,0 days 00:07:49.628758,0 days 00:00:00,0 days 00:00:14,0 days 00:00:15,0 days 00:00:16,0 days 02:00:20
SU01,15-AUG-2019,4,235,0 days 00:00:47.468085,0 days 00:07:50.015277,0 days 00:00:10,0 days 00:00:17,0 days 00:00:17,0 days 00:00:17,0 days 02:00:22
SU01,15-AUG-2019,5,231,0 days 00:00:20.489177,0 days 00:00:49.262284,0 days 00:00:14,0 days 00:00:15,0 days 00:00:16,0 days 00:00:17,0 days 00:12:35
SU01,15-AUG-2019,6,231,0 days 00:00:11.147186,0 days 00:00:01.040475,0 days 00:00:01,0 days 00:00:11,0 days 00:00:11,0 days 00:00:11,0 days 00:00:12
SU01,15-AUG-2019,7,228,0 days 00:00:08.934210,0 days 00:00:00.683387,0 days 00:00:00,0 days 00:00:09,0 days 00:00:09,0 days 00:00:09,0 days 00:00:10
SU01,15-AUG-2019,8,226,0 days 00:00:11.752212,0 days 00:00:10.711182,0 days 00:00:00,0 days 00:00:10,0 days 00:00:10,0 days 00:00:11,0 days 00:02:09
SU02,21-AUG-2019,1,78,0 days 00:00:04.012820,0 days 00:00:00.113227,0 days 00:00:04,0 days 00:00:04,0 days 00:00:04,0 days 00:00:04,0 days 00:00:05
